Area/Cluster,NoOfCrimes,Class,Level
1,24203,2,Medium
2,77,1,Low
3,31478,2,Medium
4,24519,2,Medium
5,31280,2,Medium
6,22723,2,Medium
7,28488,2,Medium
8,31661,2,Medium
9,41129,3,High
10,17145,1,Low
11,37398,3,High
12,39992,3,High
13,9458,1,Low
14,20295,2,Medium
15,24476,2,Medium
16,23326,2,Medium
17,34848,2,Medium
18,31715,2,Medium
19,39191,3,High
20,26806,2,Medium
21,51135,3,High
22,39895,3,High
23,37417,3,High
24,6662,1,Low
25,17885,1,Low
26,24287,2,Medium
27,25065,2,Medium
28,24377,2,Medium
29,19781,1,Low
30,27065,2,Medium
31,49668,3,High
32,31615,2,Medium
33,7444,1,Low
34,30716,2,Medium
35,36571,3,High
36,52360,3,High
37,21146,2,Medium
38,23680,2,Medium
39,37874,3,Medium
40,7078,1,Low
41,10674,1,Low
42,40603,3,High
43,23672,2,Medium
44,31755,2,Medium
45,34729,2,Medium
46,37479,3,High
47,43361,3,High
48,23846,2,Medium
49,31744,2,Medium
50,29839,2,Medium
